,user,popularity,budget,revenue,runtime,vote_average,vote_count,status_encoded,video_encoded,release_date
0,1,12.329904214285715,21958000.0,113867684.85714285,125.07142857142857,6.95,803.6428571428571,3.0,1.0,1981.0
1,2,15.84738020754717,34368433.96226415,247539163.18867925,122.58490566037736,6.945283018867925,1750.3396226415093,3.0,1.0,1993.6603773584907
2,3,19.667484314285712,25107142.85714286,179782084.25714287,122.97142857142858,7.242857142857143,2440.542857142857,3.0,1.0,1995.8285714285714
3,4,13.214940126760563,23105133.436619718,141231279.73943663,113.92957746478874,6.946478873239436,1315.4647887323943,3.0,1.0,1985.0774647887324
4,5,15.56782222857143,47208871.428571425,326386615.4285714,118.55714285714286,7.085714285714285,2332.457142857143,3.0,1.0,1994.5142857142857
5,6,14.1662299,35611966.666666664,203165384.26666668,118.53333333333333,7.266666666666667,1978.7666666666667,3.0,1.0,1989.7
6,7,12.873133442622951,19946531.524590164,165756007.6885246,106.40983606557377,6.918032786885246,1431.1311475409836,2.9508196721311477,0.9836065573770492,1955.8688524590164
7,8,17.923257790123458,45924074.074074075,279917453.67901236,126.33333333333333,7.3654320987654325,3002.753086419753,3.0,1.0,1995.8024691358025
8,9,13.836132870967742,25451612.903225806,186491108.38709676,125.41935483870968,7.293548387096774,2069.064516129032,3.0,1.0,1995.5806451612902
9,10,11.8404971875,29725000.0,80531955.90625,107.3125,6.4375,1321.53125,3.0,1.0,1995.6875
10,11,12.54403526923077,54290200.07692308,271266543.7307692,111.34615384615384,6.8538461538461535,2856.1153846153848,3.0,1.0,2005.576923076923
11,12,10.08396819047619,16934524.404761903,64427479.11904762,111.5952380952381,6.652380952380952,733.0238095238095,3.0,1.0,1990.595238095238
12,13,15.262398081081082,58959459.45945946,310268619.3513514,118.64864864864865,7.005405405405405,2556.6216216216217,2.918918918918919,0.972972972972973,1942.6216216216217
13,14,13.985591642857143,68034887.35714285,377122044.21428573,114.42857142857143,6.578571428571428,2182.5,3.0,1.0,1990.7142857142858
14,15,11.377425797478992,34696549.481512606,134106875.04705882,113.91848739495798,6.82,1201.363025210084,2.9974789915966387,0.9991596638655462,1992.4084033613444
15,16,13.01045225,38440000.0,188912785.4,109.95,6.975,1769.2,3.0,1.0,1997.0
16,17,13.673496393700788,21085813.767716534,114175456.40551181,118.12204724409449,7.378346456692913,1543.7047244094488,3.0,1.0,1985.6653543307086
17,18,11.235691885714285,40102857.14285714,159451854.57142857,119.57142857142857,6.362857142857142,839.1714285714286,3.0,1.0,1995.0857142857142
18,19,12.271647358108108,15287325.33445946,85422599.61148648,118.14189189189189,7.215878378378378,1013.6486486486486,3.0,1.0,1981.9222972972973
19,20,16.086967602941176,22497566.61764706,183152131.7647059,119.38235294117646,7.204411764705882,1957.1470588235295,2.9558823529411766,0.9852941176470589,1954.4411764705883
20,21,16.084739920353982,20986042.46017699,171814118.91150442,120.13274336283186,7.2982300884955755,1724.274336283186,3.0,1.0,1978.41592920354
21,22,15.252923792207792,54183181.81818182,284456413.5649351,118.48051948051948,6.961688311688311,2403.512987012987,3.0,1.0,1995.3896103896104
22,23,11.583049015748031,25848575.037401576,112689811.26574804,119.34448818897638,7.196259842519685,1099.1102362204724,3.0,1.0,1983.6456692913387
23,24,25.298341071428574,60785714.28571428,422041421.21428573,131.14285714285714,7.042857142857143,2723.0,3.0,1.0,1993.857142857143
24,25,13.514003055555555,37916666.666666664,183752377.94444445,110.27777777777777,6.605555555555556,1381.611111111111,3.0,1.0,1993.4444444444443
25,26,16.105570574999998,50591127.733333334,222190781.1,119.475,7.184166666666667,2651.6666666666665,2.975,0.9916666666666667,1986.9666666666667
26,27,22.0086481875,24163125.0,192602078.5625,129.5625,7.3375,2278.6875,3.0,1.0,1994.9375
27,28,13.279062171428572,15530499.6,89702996.05714285,125.68571428571428,7.411428571428571,1099.0857142857142,3.0,1.0,1974.1714285714286
28,29,9.092336866666667,23447666.666666668,87210878.93333334,105.06666666666666,5.98,427.6,3.0,1.0,1993.2
29,30,10.35948952758133,20582559.78500707,94224495.97171146,116.2998585572843,6.743988684582744,772.6011315417256,2.994342291371994,0.9985855728429985,1983.073550212164
30,31,24.740691645833333,33850625.0,201699434.70833334,124.1875,7.485416666666667,3123.5625,3.0,1.0,1991.7708333333333
31,32,17.878935272727272,45303030.303030305,253495234.75757575,120.21212121212122,6.724242424242425,1784.5454545454545,3.0,1.0,1993.6666666666667
32,33,10.010755052083333,16687625.59375,85025997.65625,104.57291666666667,6.569791666666667,867.0520833333334,3.0,1.0,1992.0
33,34,14.50568033076923,17741292.784615386,106911187.6923077,114.86153846153846,7.248461538461538,1458.053846153846,3.0,1.0,1981.1846153846154
34,35,10.949938142857144,29558000.0,64007094.14285714,117.64285714285714,6.8428571428571425,428.2857142857143,3.0,1.0,1985.5
35,36,13.381254708333334,20595515.555555556,138197386.81944445,119.01388888888889,6.897222222222222,1258.1666666666667,3.0,1.0,1993.3194444444443
36,37,13.484206045454545,33281818.181818184,201027635.72727272,111.22727272727273,6.818181818181818,1677.0,3.0,1.0,1997.5
37,38,16.053455948051948,23039540.83116883,141278839.55844155,121.49350649350649,7.394805194805195,2141.9220779220777,2.9740259740259742,0.987012987012987,1966.1818181818182
38,39,14.59847276744186,27240162.976744186,144265124.4883721,113.09302325581395,6.634883720930233,1443.093023255814,3.0,1.0,1994.139534883721
39,40,36.4389116,72400000.0,441915836.93333334,129.86666666666667,7.723333333333333,6077.633333333333,3.0,1.0,2006.9333333333334
40,41,12.2640695323741,30194672.82733813,113647313.58273381,110.84892086330935,6.610071942446043,1132.3741007194244,3.0,1.0,1986.0791366906474
41,42,27.075746775510208,76394897.95918368,496557278.4285714,132.3673469387755,7.479591836734694,5184.65306122449,2.938775510204082,0.9795918367346939,1956.7755102040817
42,43,11.851193,29324376.623376623,145865484.0,111.59740259740259,6.85064935064935,1375.5324675324675,3.0,1.0,1993.5454545454545
43,44,14.085950176470588,41682352.941176474,275110175.88235295,121.76470588235294,6.735294117647059,1628.5294117647059,3.0,1.0,1994.4117647058824
44,45,11.38067892857143,23878557.14285714,59505971.928571425,125.42857142857143,7.2,959.3571428571429,3.0,1.0,1987.857142857143
45,46,19.22669425925926,54944444.44444445,310272713.1111111,115.66666666666667,6.440740740740741,2779.1481481481483,3.0,1.0,1995.3703703703704
